Name,DOB,Aadhaar/SSN,Address,Bank Account,IFSC,District,State,Region,Pension Scheme,Pension Type,Amount,Disbursement Date,Frequency
Vedika Chatterjee,1943-04-01,968729090602,"05/987, Sane Ganj, Ratlam 296608",950959945146,IFSC3000,Nangloi Jat,Uttarakhand,North,Widow Pension,State,7770,2025-02-20,Monthly
Vedika Chatterjee,1943-04-01,968729090602,"05/987, Sane Ganj, Ratlam 296608",950959945146,IFSC3000,Nangloi Jat,Uttarakhand,North,Retirement Pension,Central,8669,2025-03-14,Monthly
Vedika Chatterjee,1943-04-01,968729090602,"05/987, Sane Ganj, Ratlam 296608",950959945146,IFSC3000,Nangloi Jat,Uttarakhand,North,Old Age Pension,Central,1923,2025-03-14,Quarterly
Vihaan Shroff,1959-11-20,392829360847,"214, Bumb Ganj, Tiruppur 319779",177861983428,IFSC6776,Orai,Chhattisgarh,Central,Disability Pension,Central,6018,2025-03-24,Quarterly
Navya Sarkar,1958-02-20,894188064091,"59/144, Char Zila, Anantapur 060043",471338915044,IFSC4981,Guntakal,Uttar Pradesh,South,Farmer Pension,State,2913,2025-03-15,Monthly
Amani Tella,1963-09-17,633365385942,"33/275, Chahal Path, Bhind 766782",441223632395,IFSC9866,Noida,Meghalaya,East,Old Age Pension,Central,8497,2025-02-25,Monthly
Parinaaz Baria,1945-11-25,977692582818,"46/23, Chakraborty Marg, Avadi 678442",192544606794,IFSC5252,Erode,Punjab,South,Widow Pension,State,3935,2025-03-12,Quarterly
Yuvaan Ray,1956-02-11,709645500224,"57, Chander Zila, Burhanpur 484087",774613017006,IFSC1679,Medininagar,Uttar Pradesh,North,Retirement Pension,Central,3089,2025-03-07,Monthly
Yuvaan Ray,1956-02-11,709645500224,"57, Chander Zila, Burhanpur 484087",774613017006,IFSC1679,Medininagar,Uttar Pradesh,North,Retirement Pension,Central,2663,2025-01-27,Monthly
Nitara Hans,1957-05-17,184292748519,"H.No. 45, Taneja Road, Bareilly-621051",173614374940,IFSC2127,Madhyamgram,Himachal Pradesh,West,Retirement Pension,Central,7163,2025-03-22,Monthly
Madhav Raval,1945-01-20,788356572121,"H.No. 43, Kulkarni, Raichur 813690",535002226275,IFSC1060,Unnao,Maharashtra,West,Farmer Pension,Central,3338,2025-04-05,Monthly
