Name,DOB,Aadhaar/SSN,Address,Pension Scheme,Pension Type,Amount,Date of Disbursement,Frequency,Bank Account,IFSC,District,State,Region,benefit_count_per_person,benefit_amount_total,Pension Scheme_Disability Pension,Pension Scheme_Farmer Pension,Pension Scheme_Old Age Pension,Pension Scheme_Widow Pension,Pension Type_Central,Pension Type_State,Frequency_Monthly,Frequency_Quarterly,District_DistrictA,District_DistrictB,District_DistrictC,State_State1,State_State2,Region_North,Region_South,block_key,cluster_dbscan,Fraud_Flag
Michele Jones,1956-06-04,510243499966,"Unit 7953 Box 9144, DPO AE 79760",Disability Pension,State,1594.54,2023-03-17,Quarterly,187093617609,IFSC0561,DistrictC,State1,South,1,1594.54,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,mic_south,8,Suspicious
Michael Watson,1954-10-20,443327137538,"12331 Martinez Coves Suite 146, West Emilymouth, AK 86320",Old Age Pension,State,4065.41,2021-12-13,Quarterly,370978067169,IFSC9486,DistrictB,State2,North,1,4065.41,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,mic_north,17,Suspicious
Christine Avery,1963-08-23,731652488702,"07401 Pamela Lane Apt. 563, Port Robert, VA 51570",Widow Pension,State,3040.92,2022-06-15,Quarterly,669751790369,IFSC3021,DistrictB,State1,South,1,3040.92,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,chr_south,21,Suspicious
Thomas Stewart,1950-01-08,402067775975,"PSC 0654, Box 6086, APO AP 66752",Farmer Pension,Central,1265.06,2022-07-09,Monthly,030868992703,IFSC6209,DistrictA,State1,North,1,1265.06,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,tho_north,27,Suspicious
Christopher Parker,1955-01-01,19499281685,"9131 Williamson Ridges Apt. 471, Davidfurt, NE 68447",Disability Pension,State,1832.88,2020-12-11,Monthly,765374926056,IFSC5215,DistrictC,State1,South,1,1832.88,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,chr_south,21,Suspicious
Michael Barron,1950-04-29,625488812787,"Unit 5374 Box 0001, DPO AP 30656",Farmer Pension,State,4358.14,2022-09-22,Quarterly,221600175861,IFSC3731,DistrictC,State1,North,1,4358.14,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,mic_north,17,Suspicious
Thomas Morris,1960-01-02,425285345549,"05458 Megan Ports, Mariashire, WV 86912",Farmer Pension,Central,2964.14,2021-09-28,Monthly,345621775289,IFSC1954,DistrictC,State1,North,1,2964.14,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,tho_north,27,Suspicious
Joseph Stewart,1947-03-12,261927066580,"Unit 5720 Box 9164, DPO AE 74160",Old Age Pension,Central,1063.21,2023-10-16,Monthly,053924364799,IFSC4135,DistrictB,State2,North,1,1063.21,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,jos_north,46,Suspicious
Michael Patterson,1937-04-14,253510784018,"26695 Baker Radial Apt. 988, East Luke, CO 34976",Disability Pension,State,4270.02,2023-02-15,Monthly,581332200625,IFSC3291,DistrictA,State2,South,1,4270.02,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,mic_south,8,Suspicious
Steven Gray,1940-09-13,57419247299,"9472 Smith Loaf, North Kristinton, PA 50587",Old Age Pension,State,4455.82,2024-10-19,Monthly,921514277288,IFSC1466,DistrictB,State1,South,1,4455.82,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ste_south,58,Suspicious
Joseph Smith,1946-07-24,658747269139,"USS Stark, FPO AP 60727",Old Age Pension,Central,1960.55,2021-11-23,Monthly,262031827761,IFSC2293,DistrictA,State2,North,1,1960.55,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,jos_north,46,Suspicious
Ashley Hurst,1955-04-23,711204657777,"20491 Stacey Forge Suite 390, Lake Adam, UT 89133",Old Age Pension,State,1237.51,2022-02-04,Quarterly,136001411062,IFSC0408,DistrictB,State1,North,1,1237.51,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,ash_north,69,Suspicious
Briana Cruz,1957-07-15,96834426551,"0501 Walker Path Suite 158, New Jillbury, DC 95757",Farmer Pension,Central,2924.85,2021-09-16,Monthly,921160616516,IFSC5859,DistrictC,State2,South,1,2924.85,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,bri_south,70,Suspicious
Ashlee Snyder,1937-05-29,841283120030,"36810 Rachel Grove, Lake Victoria, SC 86189",Old Age Pension,Central,1137.64,2023-03-29,Monthly,587236272433,IFSC7459,DistrictA,State1,North,1,1137.64,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,ash_north,69,Suspicious
Anthony Webb,1936-08-03,768331746736,"4580 Lisa Corners Apt. 033, South Frankville, ND 66540",Old Age Pension,Central,2161.17,2020-05-08,Quarterly,735355227444,IFSC7358,DistrictB,State2,North,1,2161.17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,ant_north,80,Suspicious
Gregory Bryant,1939-09-14,302618987339,"93332 Michael Creek Apt. 332, Kimberlyside, MD 27382",Farmer Pension,Central,4811.57,2022-03-20,Monthly,530423858585,IFSC7046,DistrictB,State1,South,1,4811.57,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,gre_south,85,Suspicious
