Name,DOB,Aadhaar/SSN,Address,Pension Scheme,Pension Type,Amount,Date of Disbursement,Frequency,Bank Account,IFSC,District,State,Region,benefit_count_per_person,benefit_amount_total,Pension Scheme_Disability Pension,Pension Scheme_Farmer Pension,Pension Scheme_Old Age Pension,Pension Scheme_Widow Pension,Pension Type_Central,Pension Type_State,Frequency_Monthly,Frequency_Quarterly,District_DistrictA,District_DistrictB,District_DistrictC,State_State1,State_State2,Region_North,Region_South
Christopher Kennedy,1962-03-23,130527038374,"939 Cynthia Manor, South Kristin, MS 67633",Old Age Pension,State,2290.31,2022-06-06,Quarterly,314824101671,IFSC1548,DistrictC,State2,North,1,2290.31,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Jason Boyd,1956-06-02,705234586365,"558 William Forest Apt. 456, South Michaelstad, AZ 54931",Old Age Pension,Central,1776.62,2023-09-04,Quarterly,899964912906,IFSC0444,DistrictB,State2,North,1,1776.62,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Alyssa Allen,1946-06-10,246407086035,"4404 William Island, Smithhaven, SC 16038",Disability Pension,Central,3335.68,2020-03-19,Quarterly,512666330746,IFSC8419,DistrictB,State2,South,1,3335.68,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Jennifer Cameron,1934-11-11,881979906640,"950 Jason Loop Suite 928, Pacefort, WI 40343",Farmer Pension,Central,2062.58,2023-03-20,Monthly,739951982237,IFSC5221,DistrictB,State2,South,1,2062.58,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
David Barnett,1940-01-04,235452978641,"215 Brandi Ramp Apt. 806, Port Anthonymouth, IA 93099",Old Age Pension,State,2650.73,2021-04-05,Quarterly,604820689007,IFSC5914,DistrictA,State2,North,1,2650.73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Carmen Maldonado,1962-07-17,167925843043,"70041 Cheryl Lodge Suite 550, South Heatherfurt, VT 75963",Farmer Pension,State,1131.68,2020-02-23,Monthly,761154476360,IFSC3560,DistrictB,State2,North,1,1131.68,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Joshua Alvarez,1954-07-19,141450807856,"PSC 5848, Box 7841, APO AE 92235",Disability Pension,State,4628.53,2021-12-23,Quarterly,115922558290,IFSC2702,DistrictC,State2,North,1,4628.53,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Kenneth Thomas,1949-06-27,969876948642,"52708 Jessica Roads Apt. 957, Farmerberg, AL 02191",Old Age Pension,Central,1436.96,2024-06-05,Monthly,693572513693,IFSC8602,DistrictC,State2,South,1,1436.96,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Melissa Reynolds,1942-12-29,440569915291,"78286 Thompson Harbors, North Alexis, TX 26975",Disability Pension,Central,1486.52,2023-05-31,Monthly,312083854782,IFSC6655,DistrictC,State1,North,2,5345.82,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Alexander Haney,1943-04-04,771308583715,"Unit 2322 Box 6888, DPO AP 94373",Widow Pension,Central,4717.2,2024-08-17,Monthly,569204509542,IFSC4001,DistrictA,State2,North,1,4717.2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Kimberly Costa,1942-11-03,848751580115,"906 Lisa Fork, Philipton, NY 93814",Old Age Pension,Central,4104.79,2024-04-08,Monthly,949915866040,IFSC9594,DistrictB,State1,South,3,17928.33,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Trevor Peterson,1956-05-06,482990164448,"440 Dyer Divide, Port Williamberg, RI 84567",Farmer Pension,State,1936.12,2023-11-05,Quarterly,220660045879,IFSC6131,DistrictA,State1,North,1,1936.12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Jordan Nelson,1952-11-06,862192754644,"9773 Grace Mill Apt. 535, Jenniferville, PA 69507",Old Age Pension,Central,3141.95,2023-11-19,Quarterly,008819725643,IFSC8413,DistrictB,State2,North,1,3141.95,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Michele Jones,1956-06-04,510243499966,"Unit 7953 Box 9144, DPO AE 79760",Disability Pension,State,1594.54,2023-03-17,Quarterly,187093617609,IFSC0561,DistrictC,State1,South,1,1594.54,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Matthew Jones,1934-08-27,590601354808,"USNV King, FPO AA 98484",Old Age Pension,Central,1231.47,2021-09-07,Quarterly,785566926332,IFSC3963,DistrictA,State1,North,2,5134.12,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Darlene Brown,1949-07-07,143489398536,"2976 Griffin Center Suite 466, Holthaven, DE 36300",Old Age Pension,State,2980.09,2021-09-16,Monthly,241067398948,IFSC0899,DistrictB,State2,South,1,2980.09,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Charlotte Graves,1934-12-31,813925093663,"0054 John Shores, South Reginashire, VA 49364",Farmer Pension,State,2102.37,2020-11-04,Quarterly,067368482518,IFSC3378,DistrictA,State1,South,1,2102.37,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Jennifer Nelson,1952-10-17,81979718726,"238 Chris Lock, Murraybury, NM 93096",Old Age Pension,State,4931.28,2023-03-26,Monthly,086516650504,IFSC4769,DistrictC,State1,North,1,4931.28,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Kelly Herman,1938-09-17,158154770886,"4557 Daniel Lights, Dunnmouth, UT 27547",Old Age Pension,State,3311.01,2024-09-26,Monthly,776741929420,IFSC8197,DistrictB,State1,North,1,3311.01,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Logan Robinson,1947-04-15,679477076931,"283 Janice River Suite 390, Mooreberg, GA 55673",Farmer Pension,Central,2204.16,2021-06-18,Quarterly,919571083715,IFSC4379,DistrictB,State1,North,1,2204.16,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Matthew Miller,1934-06-29,291790418976,"184 Matthew Locks Apt. 667, West Brittany, IN 99845",Old Age Pension,State,4923.14,2024-02-11,Monthly,893942427987,IFSC1464,DistrictB,State1,South,1,4923.14,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Lisa Walton,1957-03-02,536141394747,"27879 Michael Stream Apt. 393, Jonville, DE 25398",Disability Pension,State,1331.28,2020-04-17,Monthly,138887811508,IFSC7585,DistrictA,State1,North,1,1331.28,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Amanda Mata,1964-09-07,249377741494,"2746 Freeman Crossing Apt. 372, East Joseph, ME 32685",Farmer Pension,Central,2523.04,2020-07-26,Quarterly,302454650499,IFSC9910,DistrictC,State1,North,1,2523.04,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Lee Choi,1940-04-05,816460874142,"744 James Crossing Suite 438, Francisview, KS 17393",Widow Pension,Central,3216.6,2022-05-06,Quarterly,144048033910,IFSC1754,DistrictA,State2,North,1,3216.6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Taylor Peck,1951-08-27,126954965868,"10801 Cook Bypass, North Kathleenton, KY 23554",Farmer Pension,Central,4890.32,2021-02-03,Monthly,652755586259,IFSC2109,DistrictA,State2,North,1,4890.32,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Lisa Lopez,1956-09-24,950174363677,"241 Alyssa Circles, Lake Jamesland, AK 75865",Farmer Pension,State,3861.36,2024-08-15,Quarterly,284839444209,IFSC8316,DistrictC,State2,North,1,3861.36,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Tiffany Smith,1962-08-12,294784744476,"674 Anderson Lake Suite 138, Joannmouth, ND 92046",Farmer Pension,Central,3563.32,2020-04-22,Quarterly,292743776813,IFSC1934,DistrictC,State1,North,1,3563.32,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Craig Mosley,1962-03-28,670504357696,"97484 Mackenzie Cliffs, West Ronald, VT 68719",Disability Pension,Central,2719.87,2025-02-13,Monthly,409821149423,IFSC7183,DistrictC,State1,South,1,2719.87,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Leslie Alexander,1961-07-06,859758017470,"4533 William Views, West Cory, FL 36062",Widow Pension,State,2223.0,2021-04-06,Monthly,491543176420,IFSC7683,DistrictA,State2,South,1,2223.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Michael Watson,1954-10-20,443327137538,"12331 Martinez Coves Suite 146, West Emilymouth, AK 86320",Old Age Pension,State,4065.41,2021-12-13,Quarterly,370978067169,IFSC9486,DistrictB,State2,North,1,4065.41,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Ashley Parks,1959-05-01,389704568575,"16052 Porter Ford Apt. 146, South Jamesstad, NE 05177",Farmer Pension,State,4847.05,2022-11-10,Quarterly,141981058343,IFSC2097,DistrictB,State2,South,1,4847.05,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Kimberly Ford,1934-09-14,23403208000,"42406 Webb Ports Suite 672, West Michaelton, AZ 92865",Farmer Pension,Central,3852.23,2025-01-30,Monthly,376110200171,IFSC7539,DistrictA,State1,South,1,3852.23,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Dr. Tamara Mueller,1960-12-06,184690534778,"3559 Collin Orchard, Morganburgh, NH 95932",Old Age Pension,Central,3060.1,2024-08-16,Quarterly,708760313083,IFSC7749,DistrictB,State1,South,2,7363.07,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Laura Nguyen,1960-08-04,9154249096,"3307 Fitzpatrick Stravenue, Jackland, NJ 02124",Widow Pension,State,1624.9,2024-01-04,Monthly,389798739848,IFSC5110,DistrictB,State2,North,1,1624.9,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Albert Lane,1950-10-12,451325797779,"5124 Wright Port Apt. 221, Danaport, DE 57190",Farmer Pension,State,4286.95,2022-01-25,Monthly,838483162987,IFSC6095,DistrictC,State1,South,1,4286.95,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Kevin Craig,1959-12-01,89165377410,"691 Morgan Spring Suite 989, Cooperberg, NM 71911",Old Age Pension,Central,4610.79,2024-03-30,Monthly,226517969970,IFSC6483,DistrictA,State2,South,1,4610.79,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Christine Avery,1963-08-23,731652488702,"07401 Pamela Lane Apt. 563, Port Robert, VA 51570",Widow Pension,State,3040.92,2022-06-15,Quarterly,669751790369,IFSC3021,DistrictB,State1,South,1,3040.92,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Joshua Thornton,1963-10-22,700804028149,"24550 Cameron Wells, North Jamesview, HI 86578",Farmer Pension,State,3214.74,2021-06-23,Quarterly,742009604157,IFSC4175,DistrictB,State1,South,1,3214.74,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Gregory Ellis,1940-12-27,849297080026,"130 Graves Haven Apt. 395, Martinezburgh, MO 21937",Widow Pension,State,4858.68,2024-03-01,Monthly,356963526234,IFSC4535,DistrictC,State1,South,1,4858.68,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
